"AreaID","Kingdom","Class","Family","ScientificName","CommonName","Superseded","NCA","EPBC","Endemicity","WetlandStatus"
"national-park-maleny","animals","mammals","Cervidae","Cervus elaphus","red deer",,,,"II",,
"national-park-maleny","animals","mammals","Suidae","Sus scrofa","pig",,,,"II",,
"national-park-maleny","animals","mammals","Leporidae","Lepus europaeus","European brown hare",,,,"II",,
"national-park-maleny","animals","mammals","Canidae","Canis familiaris","dog",,,,"II",,
"national-park-maleny","animals","mammals","Canidae","Canis familiaris (dingo)","dingo",,,,"QA",,
"national-park-maleny","animals","mammals","Canidae","Vulpes vulpes","red fox",,,,"II",,
"national-park-maleny","animals","mammals","Muridae","Hydromys chrysogaster","water rat",,"C",,"QAI","I",
"national-park-maleny","animals","mammals","Muridae","Melomys burtoni","grassland melomys",,"C",,"QA",,
"national-park-maleny","animals","mammals","Muridae","Melomys cervinipes","fawn-footed melomys",,"C",,"QA",,
"national-park-maleny","animals","mammals","Muridae","Mus musculus","house mouse",,,,"II",,
"national-park-maleny","animals","mammals","Muridae","Rattus fuscipes","bush rat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Muridae","Rattus lutreolus","swamp rat",,"C",,"QA","I",
"national-park-maleny","animals","mammals","Muridae","Rattus rattus","black rat",,,,"II",,
"national-park-maleny","animals","mammals","Muridae","Rattus sp.",,,"C",,"QAI",,
"national-park-maleny","animals","mammals","Muridae","Rattus tunneyi","pale field-rat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Chalinolobus morio","chocolate wattled bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Myotis macropus","large-footed myotis",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Nyctophilus bifax","northern long-eared bat",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Vespertilionidae","Nyctophilus geoffroyi","lesser long-eared bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Nyctophilus sp.",,,"C",,"QAI",,
"national-park-maleny","animals","mammals","Vespertilionidae","Phoniscus papuensis","golden-tipped bat",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Vespertilionidae","Scotorepens greyii","little broad-nosed bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Scotorepens orion","south-eastern broad-nosed bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Vespadelus pumilus","eastern forest bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Vespertilionidae","Vespadelus troughtoni","eastern cave bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Miniopteridae","Miniopterus australis","little bent-wing bat",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Molossidae","Austronomus australis","white-striped freetail bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Molossidae","Mormopterus norfolkensis","east coast freetail bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Molossidae","Mormopterus ridei","eastern free-tailed bat",,"C",,"QA",,
"national-park-maleny","animals","mammals","Rhinolophidae","Rhinolophus megaphyllus","eastern horseshoe-bat",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Pteropodidae","Pteropus alecto","black flying-fox",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Pteropodidae","Pteropus poliocephalus","grey-headed flying-fox",,"C","V","QA",,
"national-park-maleny","animals","mammals","Pteropodidae","Pteropus scapulatus","little red flying-fox",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Pteropodidae","Pteropus sp.","flying-fox",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Macropodidae","Macropus giganteus","eastern grey kangaroo",,"C",,"QA",,
"national-park-maleny","animals","mammals","Macropodidae","Notamacropus parryi","whiptail wallaby",,"C",,"QA",,
"national-park-maleny","animals","mammals","Macropodidae","Notamacropus rufogriseus","red-necked wallaby",,"C",,"QA",,
"national-park-maleny","animals","mammals","Macropodidae","Thylogale stigmatica","red-legged pademelon",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Macropodidae","Thylogale thetis","red-necked pademelon",,"C",,"QA",,
"national-park-maleny","animals","mammals","Macropodidae","Wallabia bicolor","swamp wallaby",,"C",,"QA",,
"national-park-maleny","animals","mammals","Potoroidae","Aepyprymnus rufescens","rufous bettong",,"C",,"QA",,
"national-park-maleny","animals","mammals","Phalangeridae","Trichosurus caninus","short-eared possum",,"C",,"QA",,
"national-park-maleny","animals","mammals","Phalangeridae","Trichosurus sp.",,,"C",,"QA",,
"national-park-maleny","animals","mammals","Phalangeridae","Trichosurus vulpecula","common brushtail possum",,"C",,"QA",,
"national-park-maleny","animals","mammals","Acrobatidae","Acrobates pygmaeus","feathertail glider",,"C",,"QA",,
"national-park-maleny","animals","mammals","Pseudocheiridae","Petauroides volans volans","southern greater glider",,"E","E","QA",,
"national-park-maleny","animals","mammals","Pseudocheiridae","Pseudocheirus peregrinus","common ringtail possum",,"C",,"QA",,
"national-park-maleny","animals","mammals","Petauridae","Petaurus breviceps","sugar glider",,"C",,"QA",,
"national-park-maleny","animals","mammals","Petauridae","Petaurus breviceps sensu lato","sugar glider",Y,"C",,"QAI",,
"national-park-maleny","animals","mammals","Petauridae","Petaurus norfolcensis","squirrel glider",,"C",,"QA",,
"national-park-maleny","animals","mammals","Phascolarctidae","Phascolarctos cinereus","koala",,"E","E","QA",,
"national-park-maleny","animals","mammals","Peramelidae","Isoodon macrourus","northern brown bandicoot",,"C",,"QAI",,
"national-park-maleny","animals","mammals","Peramelidae","Perameles nasuta","long-nosed bandicoot",,"C",,"QA",,
"national-park-maleny","animals","mammals","Dasyuridae","Antechinus flavipes flavipes","yellow-footed antechinus (south-east Queensland)",,"C",,"QA",,
"national-park-maleny","animals","mammals","Dasyuridae","Antechinus mysticus","buff-footed antechinus",,"C",,"Q",,
"national-park-maleny","animals","mammals","Dasyuridae","Antechinus subtropicus","subtropical antechinus",,"C",,"QA",,
"national-park-maleny","animals","mammals","Dasyuridae","Dasyurus maculatus maculatus","spotted-tailed quoll (southern subspecies)",,"E","E","QA",,
"national-park-maleny","animals","mammals","Dasyuridae","Planigale maculata","common planigale",,"C",,"QA",,
"national-park-maleny","animals","mammals","Dasyuridae","Sminthopsis murina","common dunnart",,"C",,"QA",,
"national-park-maleny","animals","mammals","Tachyglossidae","Tachyglossus aculeatus","short-beaked echidna",,"SL",,"QAI",,
"national-park-maleny","animals","mammals","Ornithorhynchidae","Ornithorhynchus anatinus","platypus",,"SL",,"QA","I",
"national-park-maleny","animals","birds","Motacillidae","Anthus novaeseelandiae","Australasian pipit",,"C",,"QAI",,
"national-park-maleny","animals","birds","Passeridae","Passer domesticus","house sparrow",,,,"II",,
"national-park-maleny","animals","birds","Estrildidae","Lonchura castaneothorax","chestnut-breasted mannikin",,"C",,"QAI",,
"national-park-maleny","animals","birds","Estrildidae","Neochmia modesta","plum-headed finch",,"C",,"QA",,
"national-park-maleny","animals","birds","Estrildidae","Neochmia temporalis","red-browed finch",,"C",,"QA",,
"national-park-maleny","animals","birds","Estrildidae","Taeniopygia bichenovii","double-barred finch",,"C",,"QA",,
"national-park-maleny","animals","birds","Dicaeidae","Dicaeum hirundinaceum","mistletoebird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Sturnidae","Acridotheres tristis","common myna",,,,"II",,
"national-park-maleny","animals","birds","Sturnidae","Sturnus vulgaris","common starling",,,,"II",,
"national-park-maleny","animals","birds","Turdidae","Zoothera heinei","russet-tailed thrush",,"C",,"QA",,
"national-park-maleny","animals","birds","Turdidae","Zoothera lunulata","Bassian thrush",,"C",,"QA",,
"national-park-maleny","animals","birds","Turdidae","Zoothera sp.",,,"C",,"U",,
"national-park-maleny","animals","birds","Hirundinidae","Cheramoeca leucosterna","white-backed swallow",,"C",,"QA",,
"national-park-maleny","animals","birds","Hirundinidae","Hirundo neoxena","welcome swallow",,"C",,"QAI",,
"national-park-maleny","animals","birds","Hirundinidae","Hirundo rustica","barn swallow",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Hirundinidae","Petrochelidon ariel","fairy martin",,"C",,"QA",,
"national-park-maleny","animals","birds","Hirundinidae","Petrochelidon nigricans","tree martin",,"C",,"QAI",,
"national-park-maleny","animals","birds","Zosteropidae","Zosterops lateralis","silvereye",,"C",,"QAI",,
"national-park-maleny","animals","birds","Locustellidae","Cincloramphus mathewsi","rufous songlark",,"C",,"QA",,
"national-park-maleny","animals","birds","Locustellidae","Cincloramphus timoriensis","tawny grassbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Locustellidae","Poodytes gramineus","little grassbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Acrocephalidae","Acrocephalus australis","Australian reed-warbler",,"C",,"QAI",,
"national-park-maleny","animals","birds","Cisticolidae","Cisticola exilis","golden-headed cisticola",,"C",,"QAI",,
"national-park-maleny","animals","birds","Petroicidae","Eopsaltria australis","eastern yellow robin",,"C",,"QA",,
"national-park-maleny","animals","birds","Petroicidae","Microeca fascinans","jacky winter",,"C",,"QAI",,
"national-park-maleny","animals","birds","Petroicidae","Petroica goodenovii","red-capped robin",,"C",,"QA",,
"national-park-maleny","animals","birds","Petroicidae","Petroica rosea","rose robin",,"C",,"QA",,
"national-park-maleny","animals","birds","Petroicidae","Tregellasia capito","pale-yellow robin",,"C",,"QA",,
"national-park-maleny","animals","birds","Paradisaeidae","Ptiloris paradiseus","paradise riflebird",,"C",,"QA",,
"national-park-maleny","animals","birds","Monarchidae","Carterornis leucotis","white-eared monarch",,"C",,"QA",,
"national-park-maleny","animals","birds","Monarchidae","Grallina cyanoleuca","magpie-lark",,"C",,"QAI",,
"national-park-maleny","animals","birds","Monarchidae","Monarcha melanopsis","black-faced monarch",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Monarchidae","Myiagra cyanoleuca","satin flycatcher",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Monarchidae","Myiagra inquieta","restless flycatcher",,"C",,"QA",,
"national-park-maleny","animals","birds","Monarchidae","Myiagra rubecula","leaden flycatcher",,"C",,"QAI",,
"national-park-maleny","animals","birds","Monarchidae","Symposiachrus trivirgatus","spectacled monarch",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Corvidae","Corvus coronoides","Australian raven",,"C",,"QA",,
"national-park-maleny","animals","birds","Corvidae","Corvus orru","Torresian crow",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rhipiduridae","Rhipidura albiscapa","grey fantail",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rhipiduridae","Rhipidura leucophrys","willie wagtail",,"C",,"QAI",,
"national-park-maleny","animals","birds","Rhipiduridae","Rhipidura rufifrons","rufous fantail",,"SL",,"QAI",,
"national-park-maleny","animals","birds","Dicruridae","Dicrurus bracteatus","spangled drongo",,"C",,"QAI",,
"national-park-maleny","animals","birds","Artamidae","Artamus cyanopterus","dusky woodswallow",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Artamus leucorynchus","white-breasted woodswallow",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Artamus personatus","masked woodswallow",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Artamus superciliosus","white-browed woodswallow",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Cracticus nigrogularis","pied butcherbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Cracticus sp.",,,"C",,"U",,
"national-park-maleny","animals","birds","Artamidae","Cracticus torquatus","grey butcherbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Artamidae","Gymnorhina tibicen","Australian magpie",,"C",,"QAI",,
"national-park-maleny","animals","birds","Artamidae","Strepera graculina","pied currawong",,"C",,"QA",,
"national-park-maleny","animals","birds","Oriolidae","Oriolus sagittatus","olive-backed oriole",,"C",,"QAI",,
"national-park-maleny","animals","birds","Oriolidae","Sphecotheres vieilloti","Australasian figbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Falcunculidae","Falcunculus frontatus","crested shrike-tit",,"C",,"QA",,
"national-park-maleny","animals","birds","Pachycephalidae","Colluricincla harmonica","grey shrike-thrush",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pachycephalidae","Colluricincla megarhyncha","little shrike-thrush",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pachycephalidae","Pachycephala pectoralis","golden whistler",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pachycephalidae","Pachycephala rufiventris","rufous whistler",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pachycephalidae","Pachycephala simplex peninsulae","grey whistler",,"C",,"Q",,
"national-park-maleny","animals","birds","Campephagidae","Coracina lineata","barred cuckoo-shrike",,"C",,"QA",,
"national-park-maleny","animals","birds","Campephagidae","Coracina novaehollandiae","black-faced cuckoo-shrike",,"C",,"QAI",,
"national-park-maleny","animals","birds","Campephagidae","Coracina papuensis","white-bellied cuckoo-shrike",,"C",,"QAI",,
"national-park-maleny","animals","birds","Campephagidae","Edolisoma tenuirostre","common cicadabird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Campephagidae","Lalage leucomela","varied triller",,"C",,"QAI",,
"national-park-maleny","animals","birds","Neosittidae","Daphoenositta chrysoptera","varied sittella",,"C",,"QAI",,
"national-park-maleny","animals","birds","Psophodidae","Psophodes olivaceus","eastern whipbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Orthonychidae","Orthonyx temminckii","Australian logrunner",,"C",,"QAI",,
"national-park-maleny","animals","birds","Pomatostomidae","Pomatostomus temporalis","grey-crowned babbler",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Acanthagenys rufogularis","spiny-cheeked honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Acanthorhynchus tenuirostris","eastern spinebill",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Anthochaera carunculata","red wattlebird",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Anthochaera chrysoptera","little wattlebird",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Anthochaera phrygia","regent honeyeater",,"CR","CE","QA",,
"national-park-maleny","animals","birds","Meliphagidae","Anthochaera sp.",,,"C",,"U",,
"national-park-maleny","animals","birds","Meliphagidae","Caligavis chrysops","yellow-faced honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Entomyzon cyanotis","blue-faced honeyeater",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Lichmera indistincta","brown honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Manorina melanocephala","noisy miner",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Manorina melanophrys","bell miner",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Meliphaga lewinii","Lewin's honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Melithreptus albogularis","white-throated honeyeater",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Melithreptus lunatus","white-naped honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Myzomela obscura","dusky honeyeater",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Myzomela sanguinolenta","scarlet honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Philemon citreogularis","little friarbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Philemon corniculatus","noisy friarbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meliphagidae","Phylidonyris niger","white-cheeked honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Meliphagidae","Phylidonyris novaehollandiae","New Holland honeyeater",,"C",,"QA",,
"national-park-maleny","animals","birds","Pardalotidae","Pardalotus punctatus","spotted pardalote",,"C",,"QA",,
"national-park-maleny","animals","birds","Pardalotidae","Pardalotus striatus","striated pardalote",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Acanthiza chrysorrhoa","yellow-rumped thornbill",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Acanthiza lineata","striated thornbill",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Acanthiza nana","yellow thornbill",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Acanthiza pusilla","brown thornbill",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Gerygone mouki","brown gerygone",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Gerygone olivacea","white-throated gerygone",,"C",,"QAI",,
"national-park-maleny","animals","birds","Acanthizidae","Sericornis citreogularis","yellow-throated scrubwren",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Sericornis frontalis","white-browed scrubwren",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Sericornis magnirostra","large-billed scrubwren",,"C",,"QA",,
"national-park-maleny","animals","birds","Acanthizidae","Smicrornis brevirostris","weebill",,"C",,"QA",,
"national-park-maleny","animals","birds","Maluridae","Malurus cyaneus","superb fairy-wren",,"C",,"QA",,
"national-park-maleny","animals","birds","Maluridae","Malurus lamberti","variegated fairy-wren",,"C",,"QA",,
"national-park-maleny","animals","birds","Maluridae","Malurus leucopterus","white-winged fairy-wren",,"C",,"QA",,
"national-park-maleny","animals","birds","Maluridae","Malurus melanocephalus","red-backed fairy-wren",,"C",,"QA",,
"national-park-maleny","animals","birds","Maluridae","Malurus splendens","splendid fairy-wren",,"C",,"QA",,
"national-park-maleny","animals","birds","Ptilonorhynchidae","Ailuroedus crassirostris","green catbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Ptilonorhynchidae","Ptilonorhynchus violaceus","satin bowerbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Ptilonorhynchidae","Sericulus chrysocephalus","regent bowerbird",,"C",,"QA",,
"national-park-maleny","animals","birds","Climacteridae","Climacteris erythrops","red-browed treecreeper",,"C",,"QA",,
"national-park-maleny","animals","birds","Climacteridae","Climacteris picumnus","brown treecreeper",,"C",,"QA",,
"national-park-maleny","animals","birds","Climacteridae","Cormobates leucophaea","white-throated treecreeper",,"C",,"QA",,
"national-park-maleny","animals","birds","Climacteridae","Cormobates leucophaea metastasis","white-throated treecreeper (southern)",,"C",,"QA",,
"national-park-maleny","animals","birds","Pittidae","Pitta versicolor","noisy pitta",,"C",,"QAI",,
"national-park-maleny","animals","birds","Coraciidae","Eurystomus orientalis","dollarbird",,"C",,"QAI",,
"national-park-maleny","animals","birds","Meropidae","Merops ornatus","rainbow bee-eater",,"C",,"QAI",,
"national-park-maleny","animals","birds","Alcedinidae","Ceyx azureus","azure kingfisher",,"C",,"QAI","I",
"national-park-maleny","animals","birds","Alcedinidae","Dacelo leachii","blue-winged kookaburra",,"C",,"QAI",,
"national-park-maleny","animals","birds","Alcedinidae","Dacelo novaeguineae","laughing kookaburra",,"C",,"QA",,
"national-park-maleny","animals","birds","Alcedinidae","Todiramphus macleayii","forest kingfisher",,"C",,"QAI",,
"national-park-maleny","animals","birds","Alcedinidae","Todiramphus sanctus","sacred kingfisher",,"C",,"QAI",,
"national-park-maleny","animals","birds","Tytonidae","Tyto javanica","eastern barn owl",,"C",,"QAI",,
"national-park-maleny","animals","birds","Tytonidae","Tyto longimembris","eastern grass owl",,"C",,"QAI",,
"national-park-maleny","animals","birds","Tytonidae","Tyto tenebricosa tenebricosa","sooty owl",,"C",,"QA",,
"national-park-maleny","animals","birds","Strigidae","Ninox boobook","southern boobook",,"C",,"QAI",,
"national-park-maleny","animals","birds","Strigidae","Ninox connivens","barking owl",,"C",,"QAI",,
"national-park-maleny","animals","birds","Strigidae","Ninox strenua","powerful owl",,"V",,"QA",,
"national-park-maleny","animals","birds","Cuculidae","Cacomantis flabelliformis","fan-tailed cuckoo",,"C",,"QAI",,
"national-park-maleny","animals","birds","Cuculidae","Cacomantis pallidus","pallid cuckoo",,"C",,"QAI",,
"national-park-maleny","animals","birds","Cuculidae","Cacomantis variolosus","brush cuckoo",,"C",,"QAI",,
